"","ID","SEX","FOODITEM","BOUTDURATION","ages","new.rank","female","male","KID","new.f","new.m","rank","adult.presence"
"1","DK","0",43,34,3,1,"0","2","DK","1","2","4","2"
"2","DZ","1",43,20,4,1,"0","2","DZ","1","2","4","2"
"3","DZ","1",43,8,4,1,"0","2","DZ","1","2","4","2"
"4","EP","0",43,4,5,1,"0","2","EP","1","2","4","2"
"5","EP","0",43,35,5,1,"0","2","EP","1","2","4","2"
"6","FB","1",43,6,6,1,"0","2","FB","1","2","4","2"
"7","FB","1",43,4,6,1,"0","2","FB","1","2","4","2"
"8","FB","1",43,6,6,1,"0","2","FB","1","2","4","2"
"9","FB","1",43,3,6,1,"0","2","FB","1","2","4","2"
"10","FB","1",43,1037,6,1,"0","2","FB","1","2","4","2"
"11","FE","1",43,8,5,1,"0","2","FE","1","2","4","2"
"12","FE","1",43,5,5,1,"0","2","FE","1","2","4","2"
"13","GT","0",43,20,4,1,"0","2","GT","1","2","4","2"
"14","IE","0",43,13,4,1,"0","2","IE","1","2","4","2"
"15","IE","0",43,4,4,1,"0","2","IE","1","2","4","2"
"16","IE","0",43,3,4,1,"0","2","IE","1","2","4","2"
"17","JA","1",43,12,5,1,"0","2","JA","1","2","4","2"
"18","JA","1",43,7,5,1,"0","2","JA","1","2","4","2"
"19","JA","1",43,5,5,1,"0","2","JA","1","2","4","2"
"20","JA","1",43,3,5,1,"0","2","JA","1","2","4","2"
"21","JA","1",43,3,5,1,"0","2","JA","1","2","4","2"
"22","KW","1",43,6,4,1,"0","2","KW","1","2","4","2"
"23","KW","1",43,3,4,1,"0","2","KW","1","2","4","2"
"24","KW","1",43,141,4,1,"0","2","KW","1","2","4","2"
"25","KW","1",43,4,4,1,"0","2","KW","1","2","4","2"
"26","KW","1",43,176,4,1,"0","2","KW","1","2","4","2"
"27","NC","1",43,2,4,1,"0","2","NC","1","2","4","2"
"28","NC","1",43,6,4,1,"0","2","NC","1","2","4","2"
"29","NC","1",43,14,4,1,"0","2","NC","1","2","4","2"
"30","NT","0",43,34,3,1,"0","2","NT","1","2","4","2"
"31","NT","0",43,69,3,1,"0","2","NT","1","2","4","2"
"32","PG","0",43,4,2,1,"0","2","PG","1","2","4","2"
"33","PG","0",43,5,2,1,"0","2","PG","1","2","4","2"
"34","PG","0",43,2,2,1,"0","2","PG","1","2","4","2"
"35","PG","0",43,10,2,1,"0","2","PG","1","2","4","2"
"36","PG","0",43,3,2,1,"0","2","PG","1","2","4","2"
"37","PG","0",43,40,2,1,"0","2","PG","1","2","4","2"
"38","PG","0",43,9,2,1,"0","2","PG","1","2","4","2"
"39","PJ","1",43,43,2,1,"0","2","PJ","1","2","4","2"
"40","PJ","1",43,22,2,1,"0","2","PJ","1","2","4","2"
"41","PJ","1",43,3,2,1,"0","2","PJ","1","2","4","2"
"42","PO","1",43,93,2,1,"0","2","PO","1","2","4","2"
"43","SO","0",43,5,4,1,"0","2","SO","1","2","4","2"
"44","SO","0",43,3,4,1,"0","2","SO","1","2","4","2"
"45","SO","0",43,37,4,1,"0","2","SO","1","2","4","2"
"46","SO","0",43,17,4,1,"0","2","SO","1","2","4","2"
"47","SO","0",43,2,4,1,"0","2","SO","1","2","4","2"
"48","SU","0",43,4,5,1,"0","2","SU","1","2","4","2"
"49","SU","0",43,5,5,1,"0","2","SU","1","2","4","2"
"50","SU","0",43,6,5,1,"0","2","SU","1","2","4","2"
"51","SU","0",43,6,5,1,"0","2","SU","1","2","4","2"
"52","SU","0",43,3,5,1,"0","2","SU","1","2","4","2"
"53","SU","0",43,97,5,1,"0","2","SU","1","2","4","2"
"54","SU","0",43,121,5,1,"0","2","SU","1","2","4","2"
"55","SW","1",43,418,2,1,"0","2","SW","1","2","4","2"
"56","SW","1",43,18,2,1,"0","2","SW","1","2","4","2"
"57","SW","1",43,5,2,1,"0","2","SW","1","2","4","2"
"58","SZ","0",43,7,3,1,"0","2","SZ","1","2","4","2"
"59","SZ","0",43,4,3,1,"0","2","SZ","1","2","4","2"
"60","VX","0",43,120,3,1,"0","2","VX","1","2","4","2"
"61","WB","1",43,6,2,1,"0","2","WB","1","2","4","2"
"62","WB","1",43,21,2,1,"0","2","WB","1","2","4","2"
"63","WB","1",43,8,2,1,"0","2","WB","1","2","4","2"
"64","WB","1",43,3,2,1,"0","2","WB","1","2","4","2"
"65","WK","0",43,6,3,1,"0","2","WK","1","2","4","2"
"66","WK","0",43,5,3,1,"0","2","WK","1","2","4","2"
"67","WK","0",43,27,3,1,"0","2","WK","1","2","4","2"
"68","XA","0",43,72,5,1,"0","2","XA","1","2","4","2"
"69","XE","1",43,13,3,1,"0","2","XE","1","2","4","2"
"70","XE","1",43,4,3,1,"0","2","XE","1","2","4","2"
"71","XE","1",43,35,3,1,"0","2","XE","1","2","4","2"
"72","XE","1",43,37,3,1,"0","2","XE","1","2","4","2"
"73","YN","1",43,8,2,1,"0","2","YN","1","2","4","2"
"74","YN","1",43,253,2,1,"0","2","YN","1","2","4","2"
"75","YN","1",43,5,2,1,"0","2","YN","1","2","4","2"
"76","YZ","0",43,4,4,1,"0","2","YZ","1","2","4","2"
"77","YZ","0",43,56,4,1,"0","2","YZ","1","2","4","2"
"78","YZ","0",43,5,4,1,"0","2","YZ","1","2","4","2"
"79","AY","0",401,5,2,2,"0","2","AY","1","2","3","2"
"80","BC","1",401,35,4,2,"0","2","BC","1","2","3","2"
"81","CC","0",401,4,2,2,"0","2","CC","1","2","3","2"
"82","CC","0",401,10,2,2,"0","2","CC","1","2","3","2"
"83","CC","0",401,126,2,2,"0","2","CC","1","2","3","2"
"84","CC","0",401,2,2,2,"0","2","CC","1","2","3","2"
"85","CC","0",401,4,2,2,"0","2","CC","1","2","3","2"
"86","CP","1",401,2,3,2,"0","2","CP","1","2","3","2"
"87","CP","1",401,22,3,2,"0","2","CP","1","2","3","2"
"88","CP","1",401,197,3,2,"0","2","CP","1","2","3","2"
"89","DK","0",401,8,3,2,"0","2","DK","1","2","3","2"
"90","EI","1",401,6,6,2,"0","2","EI","1","2","3","2"
"91","EI","1",401,304,6,2,"0","2","EI","1","2","3","2"
"92","EK","1",401,64,2,2,"0","2","EK","1","2","3","2"
"93","EK","1",401,5,2,2,"0","2","EK","1","2","3","2"
"94","EK","1",401,8,2,2,"0","2","EK","1","2","3","2"
"95","EP","0",401,297,5,2,"0","2","EP","1","2","3","2"
"96","EP","0",401,4,5,2,"0","2","EP","1","2","3","2"
"97","JA","1",401,127,5,2,"0","2","JA","1","2","3","2"
"98","NC","1",401,16,4,2,"0","2","NC","1","2","3","2"
"99","NC","1",401,165,4,2,"0","2","NC","1","2","3","2"
"100","PJ","1",401,6,2,2,"0","2","PJ","1","2","3","2"
"101","PO","1",401,230,2,2,"0","2","PO","1","2","3","2"
"102","SO","0",401,110,4,2,"0","2","SO","1","2","3","2"
"103","SO","0",401,25,4,2,"0","2","SO","1","2","3","2"
"104","SO","0",401,5,4,2,"0","2","SO","1","2","3","2"
"105","SO","0",401,4,4,2,"0","2","SO","1","2","3","2"
"106","SU","0",401,26,5,2,"0","2","SU","1","2","3","2"
"107","SU","0",401,125,5,2,"0","2","SU","1","2","3","2"
"108","SU","0",401,27,5,2,"0","2","SU","1","2","3","2"
"109","SZ","0",401,3,3,2,"0","2","SZ","1","2","3","2"
"110","VX","0",401,6,3,2,"0","2","VX","1","2","3","2"
"111","WB","1",401,5,2,2,"0","2","WB","1","2","3","2"
"112","WK","0",401,136,3,2,"0","2","WK","1","2","3","2"
"113","XA","0",401,5,5,2,"0","2","XA","1","2","3","2"
"114","XA","0",401,3,5,2,"0","2","XA","1","2","3","2"
"115","XA","0",401,3,5,2,"0","2","XA","1","2","3","2"
"116","XA","0",401,5,5,2,"0","2","XA","1","2","3","2"
"117","YN","1",401,11,2,2,"0","2","YN","1","2","3","2"
"118","YV","1",401,8,6,2,"0","2","YV","1","2","3","2"
"119","YZ","0",401,7,4,2,"0","2","YZ","1","2","3","2"
"120","YZ","0",401,346,4,2,"0","2","YZ","1","2","3","2"
"121","YZ","0",401,5,4,2,"0","2","YZ","1","2","3","2"
"122","YZ","0",401,3,4,2,"0","2","YZ","1","2","3","2"
"123","YZ","0",401,3,4,2,"0","2","YZ","1","2","3","2"
"124","YZ","0",401,7,4,2,"0","2","YZ","1","2","3","2"
"125","YZ","0",401,3,4,2,"0","2","YZ","1","2","3","2"
"126","AO","1",41,17,4,3,"0","2","AO","1","2","2","2"
"127","BC","1",41,73,4,3,"0","2","BC","1","2","2","2"
"128","CC","0",41,3,2,3,"0","2","CC","1","2","2","2"
"129","CC","0",41,11,2,3,"0","2","CC","1","2","2","2"
"130","CK","1",41,10,5,3,"0","2","CK","1","2","2","2"
"131","CK","1",41,6,5,3,"0","2","CK","1","2","2","2"
"132","CP","1",41,9,3,3,"0","2","CP","1","2","2","2"
"133","NC","1",41,141,4,3,"0","2","NC","1","2","2","2"
"134","NC","1",41,40,4,3,"0","2","NC","1","2","2","2"
"135","WB","1",41,16,2,3,"0","2","WB","1","2","2","2"
"136","XE","1",41,8,3,3,"0","2","XE","1","2","2","2"
"137","AO","1",525,23,4,4,"0","2","AO","1","2","1","2"
"138","AO","1",525,74,4,4,"0","2","AO","1","2","1","2"
"139","AO","1",525,3,4,4,"0","2","AO","1","2","1","2"
"140","AO","1",525,4,4,4,"0","2","AO","1","2","1","2"
"141","AO","1",525,6,4,4,"0","2","AO","1","2","1","2"
"142","AO","1",525,5,4,4,"0","2","AO","1","2","1","2"
"143","AO","1",525,3,4,4,"0","2","AO","1","2","1","2"
"144","AO","1",525,142,4,4,"0","2","AO","1","2","1","2"
"145","AO","1",525,220,4,4,"0","2","AO","1","2","1","2"
"146","AO","1",525,33,4,4,"0","2","AO","1","2","1","2"
"147","AO","1",525,4,4,4,"0","2","AO","1","2","1","2"
"148","AO","1",525,24,4,4,"0","2","AO","1","2","1","2"
"149","AO","1",525,8,4,4,"0","2","AO","1","2","1","2"
"150","AO","1",525,435,4,4,"0","2","AO","1","2","1","2"
"151","AO","1",525,22,4,4,"0","2","AO","1","2","1","2"
"152","AO","1",525,4,4,4,"0","2","AO","1","2","1","2"
"153","AO","1",525,75,4,4,"0","2","AO","1","2","1","2"
